epoch,accuracy,loss,val_accuracy,val_loss
0,0.7743055820465088,0.7426842451095581,0.7419999837875366,0.8062613010406494
1,0.7972221970558167,0.6985020637512207,0.765999972820282,0.775364100933075
2,0.8130555748939514,0.6657412648200989,0.7720000147819519,0.7508350610733032
3,0.8237500190734863,0.6427886486053467,0.7760000228881836,0.7387105822563171
4,0.8370833396911621,0.6196675896644592,0.7820000052452087,0.7240681052207947
5,0.8491666913032532,0.592202365398407,0.7860000133514404,0.7055467367172241
6,0.8577777743339539,0.5755141973495483,0.7919999957084656,0.6941118240356445
7,0.8612499833106995,0.5654601454734802,0.7960000038146973,0.6868237853050232
8,0.8659722208976746,0.5536023378372192,0.7900000214576721,0.6831653714179993
9,0.8768055438995361,0.5311689376831055,0.7940000295639038,0.671500027179718
