epoch,accuracy,loss,val_accuracy,val_loss
0,0.38152778148651123,1.474052906036377,0.5460000038146973,1.2848834991455078
1,0.5936111211776733,1.148079514503479,0.5820000171661377,1.143741488456726
2,0.6470833420753479,1.0040225982666016,0.6079999804496765,1.0617531538009644
3,0.6729166507720947,0.924335777759552,0.6259999871253967,1.005871057510376
4,0.6920833587646484,0.8676372766494751,0.6320000290870667,0.9655540585517883
5,0.7122222185134888,0.8209711909294128,0.6520000100135803,0.9338750839233398
6,0.7209722399711609,0.7957881689071655,0.6620000004768372,0.9023992419242859
7,0.7326388955116272,0.76922607421875,0.6660000085830688,0.881161093711853
8,0.738194465637207,0.7498809099197388,0.6740000247955322,0.8627433180809021
9,0.7431944608688354,0.7284933924674988,0.6800000071525574,0.8478018641471863
10,0.7502777576446533,0.7137881517410278,0.6840000152587891,0.8339004516601562
11,0.7530555725097656,0.6962425112724304,0.6919999718666077,0.8211129307746887
12,0.7605555653572083,0.6788061261177063,0.6940000057220459,0.8095366954803467
13,0.7679166793823242,0.6660559773445129,0.6980000138282776,0.796205461025238
14,0.7665277719497681,0.6611883640289307,0.7039999961853027,0.7866607904434204
