epoch,accuracy,loss,val_accuracy,val_loss
0,0.6399503350257874,1.400145411491394,0.9139999747276306,0.7540740966796875
1,0.9135742783546448,0.6047520041465759,0.9440000057220459,0.41175833344459534
2,0.9479928016662598,0.37531569600105286,0.9559999704360962,0.2838490605354309
3,0.9562698006629944,0.27576887607574463,0.9599999785423279,0.21883679926395416
4,0.9647537469863892,0.21615968644618988,0.968999981880188,0.17865705490112305
5,0.9684783816337585,0.1818428784608841,0.9700000286102295,0.15121634304523468
6,0.9728928208351135,0.15480343997478485,0.972000002861023,0.13192829489707947
7,0.9747551679611206,0.13407011330127716,0.9750000238418579,0.1169157549738884
8,0.9772382378578186,0.1192534789443016,0.9789999723434448,0.10517524927854538
9,0.9810318946838379,0.10723494738340378,0.9789999723434448,0.09548874944448471
10,0.9817906022071838,0.09411852061748505,0.9810000061988831,0.08777854591608047
11,0.9841357469558716,0.08638712763786316,0.9810000061988831,0.08079316467046738
12,0.9829631447792053,0.08143313974142075,0.9810000061988831,0.07453542947769165
13,0.9858601093292236,0.07361096888780594,0.9819999933242798,0.07049543410539627
14,0.9871706366539001,0.06955129653215408,0.9819999933242798,0.06685919314622879
