,precision,recall,f1-score,support
모낭사이홍반,0.722972972972973,0.7379310344827587,0.7303754266211604,290.0
미세각질,0.6509803921568628,0.5724137931034483,0.6091743119266055,290.0
비듬,0.6092307692307692,0.6827586206896552,0.6439024390243903,290.0
탈모,0.7129629629629629,0.7965517241379311,0.752442996742671,290.0
피지과다,0.732,0.6310344827586207,0.6777777777777778,290.0
accuracy,0.6841379310344827,0.6841379310344827,0.6841379310344827,0.6841379310344827
macro avg,0.6856294194647136,0.6841379310344828,0.6827345904185209,1450.0
weighted avg,0.6856294194647136,0.6841379310344827,0.682734590418521,1450.0
