epoch,accuracy,loss,val_accuracy,val_loss
0,0.411577045917511,1.4035913944244385,0.6269968152046204,1.1433672904968262
1,0.5928756594657898,1.110042929649353,0.6813098788261414,0.9954048991203308
2,0.64384925365448,1.0064717531204224,0.7020766735076904,0.9294520616531372
3,0.6693692803382874,0.9551811218261719,0.7188498377799988,0.890337347984314
4,0.6871137022972107,0.9219089150428772,0.7236421704292297,0.8661574125289917
5,0.7012028694152832,0.8986627459526062,0.7332268357276917,0.848497211933136
6,0.7072505950927734,0.8830438852310181,0.7396166324615479,0.8356133103370667
7,0.7171528935432434,0.8625563979148865,0.7404153347015381,0.8252206444740295
8,0.7135641574859619,0.8561297059059143,0.7460063695907593,0.8177152872085571
9,0.7190137505531311,0.8532209396362305,0.7484025359153748,0.8107962608337402
10,0.7249950170516968,0.8429047465324402,0.7460063695907593,0.8055399656295776
11,0.7285172939300537,0.8341943025588989,0.7515974640846252,0.8014094829559326
12,0.7312421202659607,0.8289486169815063,0.7523961663246155,0.7971572875976562
13,0.7323054671287537,0.8252410888671875,0.7539936304092407,0.7934557199478149
14,0.7366917133331299,0.8171350955963135,0.7563897967338562,0.7907341122627258
