class,precision,recall,f1_score,support
건선,0.775,0.775,0.775,80
아토피,0.9056603773584906,0.6,0.7218045112781954,80
여드름,0.6363636363636364,0.7875,0.7039106145251397,80
정상,0.9195402298850575,1.0,0.9580838323353293,80
주사,0.7530864197530864,0.7625,0.7577639751552795,80
