epoch,accuracy,loss,val_accuracy,val_loss
0,0.40873563289642334,1.375276803970337,0.5875862240791321,1.1219340562820435
1,0.5694827437400818,1.0944150686264038,0.6482758522033691,0.9775547981262207
2,0.6136781573295593,0.991460382938385,0.6737930774688721,0.9084144234657288
3,0.6373563408851624,0.9388465285301208,0.6855172514915466,0.8701576590538025
4,0.6515517234802246,0.9059438705444336,0.6937931180000305,0.845750093460083
5,0.6629884839057922,0.8756973147392273,0.6903448104858398,0.8284932374954224
6,0.6689080595970154,0.8555523157119751,0.6944827437400818,0.815915584564209
7,0.6705747246742249,0.8490630388259888,0.6924138069152832,0.806649386882782
8,0.6759195327758789,0.839235782623291,0.6972413659095764,0.7994232177734375
9,0.6773563027381897,0.8299452662467957,0.6931034326553345,0.793418288230896
10,0.6837931275367737,0.8201793432235718,0.6972413659095764,0.7891619205474854
11,0.6855747103691101,0.8136138916015625,0.6951724290847778,0.7850301265716553
12,0.6885057687759399,0.8090079426765442,0.699999988079071,0.7803579568862915
13,0.6891953945159912,0.803689181804657,0.7006896734237671,0.7789738774299622
14,0.6913793087005615,0.8007532358169556,0.704827606678009,0.7761493921279907
