,precision,recall,f1-score,support
모낭사이홍반,0.7194719471947195,0.7517241379310344,0.7352445193929174,290.0
미세각질,0.6544715447154471,0.5551724137931034,0.6007462686567164,290.0
비듬,0.6046511627906976,0.7172413793103448,0.6561514195583596,290.0
탈모,0.7451612903225806,0.7965517241379311,0.77,290.0
피지과다,0.7449392712550608,0.6344827586206897,0.6852886405959032,290.0
accuracy,0.6910344827586207,0.6910344827586207,0.6910344827586207,0.6910344827586207
macro avg,0.6937390432557011,0.6910344827586207,0.6894861696407794,1450.0
weighted avg,0.6937390432557011,0.6910344827586207,0.6894861696407795,1450.0
