epoch,accuracy,loss,val_accuracy,val_loss
1,0.7940278053283691,0.6634013652801514,0.6980000138282776,0.8146942853927612
2,0.8075000047683716,0.6256571412086487,0.7020000219345093,0.7822780013084412
3,0.816527783870697,0.5969771146774292,0.7139999866485596,0.7527835369110107
4,0.8272222280502319,0.5689942240715027,0.7300000190734863,0.7423073053359985
5,0.8351389169692993,0.5479102730751038,0.7400000095367432,0.7171726226806641
6,0.8455555438995361,0.529050886631012,0.7419999837875366,0.6948694586753845
7,0.8509722352027893,0.5109319686889648,0.75,0.6836442351341248
8,0.8606944680213928,0.49291926622390747,0.75,0.670438289642334
9,0.8604166507720947,0.47831881046295166,0.7639999985694885,0.6568373441696167
10,0.8722222447395325,0.46765562891960144,0.7559999823570251,0.6530346274375916
