epoch,accuracy,loss,val_accuracy,val_loss
0,0.7798610925674438,0.7428841590881348,0.7239999771118164,0.836110532283783
1,0.8015277981758118,0.7027008533477783,0.7239999771118164,0.8171123266220093
2,0.8119444251060486,0.6782069802284241,0.7459999918937683,0.7866937518119812
3,0.820972204208374,0.6495729684829712,0.7519999742507935,0.7791531085968018
4,0.8351389169692993,0.6332412958145142,0.765999972820282,0.7571519613265991
5,0.8433333039283752,0.6140831708908081,0.7760000228881836,0.7450287342071533
6,0.8484722375869751,0.5985130667686462,0.7839999794960022,0.7278586030006409
7,0.8583333492279053,0.5839983224868774,0.7879999876022339,0.7164438366889954
8,0.8598611354827881,0.5740864276885986,0.7860000133514404,0.721652626991272
9,0.8723611235618591,0.5573038458824158,0.7940000295639038,0.7051433324813843
