Model,Best Val Accuracy,Test Accuracy,Macro Precision,Macro Recall,Macro F1,Best Epoch
Original,0.6679999828338623,0.7850000262260437,0.7979301326720541,0.7849999999999999,0.7833125866587888,15
Augmented,0.6880000233650208,0.8199999928474426,0.8271266230270997,0.82,0.8195818185502844,15
