epoch,accuracy,loss,val_accuracy,val_loss
0,0.7626388669013977,0.6482187509536743,0.7120000123977661,0.7351328134536743
1,0.784583330154419,0.595141589641571,0.7200000286102295,0.7107414603233337
2,0.7900000214576721,0.5628054738044739,0.7379999756813049,0.6753463745117188
3,0.8056944608688354,0.526049017906189,0.7459999918937683,0.6610373258590698
4,0.8129166960716248,0.5076927542686462,0.7559999823570251,0.6397799253463745
5,0.8258333206176758,0.4794779121875763,0.7620000243186951,0.6283488273620605
6,0.82791668176651,0.46423089504241943,0.777999997138977,0.6025307178497314
7,0.8386111259460449,0.4408937692642212,0.7839999794960022,0.5934286713600159
8,0.84375,0.4266376793384552,0.7760000228881836,0.5939986705780029
9,0.856249988079071,0.40191715955734253,0.7940000295639038,0.5790650248527527
