epoch,accuracy,loss,val_accuracy,val_loss
0,0.7820833325386047,0.3455030918121338,0.7200000286102295,0.4096330404281616
1,0.8023611307144165,0.31309762597084045,0.75,0.3979882001876831
2,0.8108333349227905,0.2939426004886627,0.7620000243186951,0.37410131096839905
3,0.8226388692855835,0.27083897590637207,0.7639999985694885,0.36938804388046265
4,0.832361102104187,0.25849050283432007,0.7680000066757202,0.3521689474582672
5,0.8427777886390686,0.24316640198230743,0.7739999890327454,0.34389013051986694
6,0.8468055725097656,0.23126567900180817,0.7799999713897705,0.3289082646369934
7,0.8558333516120911,0.21764962375164032,0.7879999876022339,0.3219670355319977
8,0.8573611378669739,0.21157138049602509,0.7799999713897705,0.3279128074645996
9,0.8729166388511658,0.19726130366325378,0.7919999957084656,0.3125152885913849
