,건선,아토피,여드름,정상,주사
Baseline,0.7606837606837609,0.6847826086956522,0.6818181818181819,0.9345794392523363,0.8958333333333334
WS-DAN,0.7232142857142857,0.575,0.7373737373737373,0.8968609865470852,0.8410256410256411
PMG,0.8252427184466019,0.7835051546391754,0.7634408602150538,0.9615384615384615,0.9029126213592233
MixStyle,0.7619047619047619,0.7253886010362695,0.7011494252873564,0.9383886255924171,0.8900523560209425
