experiment,validation_accuracy_mean,validation_accuracy_std,validation_macro_f1_mean,validation_macro_f1_std,training_seconds_mean
dinov2_small_224,0.7699680511182109,0.0,0.7705341251195019,0.0,504.30501069499996
efficientnetv2s_256,0.7691693290734825,0.0,0.7681559382466019,0.0,704.8830730919999
multires_b1_384,0.7963258785942492,0.0,0.7957146810115047,0.0,773.3170999580002
