epoch,accuracy,loss,val_accuracy,val_loss
0,0.4003455936908722,1.416414737701416,0.6118211150169373,1.1410391330718994
1,0.5731375217437744,1.1347687244415283,0.6669328808784485,1.0010749101638794
2,0.6326842308044434,1.0291179418563843,0.6876996755599976,0.9391428828239441
3,0.6526882648468018,0.9831958413124084,0.7004792094230652,0.9040923118591309
4,0.669568657875061,0.9503447413444519,0.7116613388061523,0.8822864890098572
5,0.683857262134552,0.9265049695968628,0.720447301864624,0.8659299612045288
6,0.6922309994697571,0.9076569676399231,0.7172523736953735,0.8550114035606384
7,0.6962849497795105,0.8925377726554871,0.7228434681892395,0.8469590544700623
8,0.6988103985786438,0.8860276937484741,0.725239634513855,0.8399437069892883
9,0.7029972672462463,0.8815925121307373,0.7284345030784607,0.8352598547935486
10,0.7082474827766418,0.8731430172920227,0.7284345030784607,0.8307256102561951
11,0.712500810623169,0.8661326766014099,0.7324281334877014,0.8273720741271973
12,0.713697075843811,0.8578412532806396,0.7324281334877014,0.8239277005195618
13,0.7203429341316223,0.852461040019989,0.7356230020523071,0.8205162882804871
14,0.7229347825050354,0.8453134894371033,0.7324281334877014,0.8193791508674622
