epoch,accuracy,loss,val_accuracy,val_loss
0,0.5690835118293762,1.1282384395599365,0.7484025359153748,0.8159839510917664
1,0.6990097761154175,0.8880901336669922,0.7619808316230774,0.7746946811676025
2,0.7309762835502625,0.8269620537757874,0.7659744620323181,0.7542576193809509
3,0.7457300424575806,0.7947845458984375,0.7675718665122986,0.74449622631073
4,0.7568950653076172,0.7696227431297302,0.7771565318107605,0.7351725697517395
5,0.7609490156173706,0.7551995515823364,0.7835463285446167,0.7293444871902466
6,0.7721804976463318,0.7387924790382385,0.7811501622200012,0.7242370843887329
7,0.7772977948188782,0.7267723679542542,0.7835463285446167,0.7221646308898926
8,0.7800226211547852,0.7130007743835449,0.7843450307846069,0.7170168161392212
9,0.7860702872276306,0.7047276496887207,0.7819488644599915,0.7162883281707764
10,0.7899249196052551,0.6984073519706726,0.7859424948692322,0.7122536301612854
11,0.7931149005889893,0.6916912794113159,0.779552698135376,0.7111589312553406
12,0.7949092984199524,0.6821271777153015,0.7843450307846069,0.7102289199829102
13,0.800292432308197,0.6705034375190735,0.7851437926292419,0.7088977694511414
14,0.8034159541130066,0.6683527827262878,0.7915335297584534,0.7081166505813599
