experiment,selected_stage,validation_accuracy,validation_macro_f1,elapsed_seconds_this_trial,parameters,model_bytes,stage1_best_val,stage2_best_val
b0_224_ce,stage2,0.794,0.7917009497301795,553.4417624729999,4055976,28989670,0.6899999976158142,0.7940000295639038
b0_256_ce,stage2,0.796,0.7915394647566528,550.6528598040002,4055976,28989670,0.7039999961853027,0.7960000038146973
b0_256_ls005,stage2,0.794,0.7892883497449976,515.9722539279999,4055976,28989671,0.699999988079071,0.7940000295639038
b0_256_focal15,stage2,0.792,0.7898148816790076,518.65045697,4055976,28989709,0.7160000205039978,0.7919999957084656
b1_256_ls005,stage2,0.796,0.7931535064807589,569.2661202260001,6581644,47218934,0.699999988079071,0.7960000038146973
b1_256_ls005_extend5,parent_stage2,0.796,0.7931535064807589,143.2515528480003,6581644,47218934,0.699999988079071,0.7960000038146973
