class_index,class_name,baseline_f1,supcon_f1,delta_supcon_minus_baseline
0,모낭사이홍반,0.8183556405353728,0.8388349514563107,0.02047931092093791
1,미세각질,0.7136929460580914,0.7261663286004058,0.012473382542314337
2,비듬,0.7191919191919192,0.7379032258064515,0.018711306614532353
3,탈모,0.8202020202020203,0.8384458077709612,0.01824378756894096
4,피지과다,0.8015717092337917,0.8140900195694716,0.01251831033567985
