condition,seed,validation_accuracy,validation_macro_f1,training_seconds,parameters,model_bytes
baseline_b1_256,42,0.7755591054313099,0.7746028470442391,535.2451443790001,6581644,47218934
supcon_b1_256,42,0.7915335463258786,0.7910880666407202,704.768204991,6581644,47236989
