epoch,accuracy,loss,val_accuracy,val_loss
0,0.44254669547080994,1.3682072162628174,0.6214057803153992,1.1432642936706543
1,0.5904831290245056,1.1240304708480835,0.6549520492553711,1.0261379480361938
2,0.6263042688369751,1.0422028303146362,0.6765175461769104,0.969511091709137
3,0.6485013365745544,0.9965065121650696,0.6892971396446228,0.935741662979126
4,0.6667774319648743,0.9659863114356995,0.6956868767738342,0.9131173491477966
5,0.6732903718948364,0.9456407427787781,0.7060703039169312,0.894446611404419
6,0.6842560172080994,0.9251660704612732,0.7132588028907776,0.8821477293968201
7,0.6823951601982117,0.914342999458313,0.7212460041046143,0.8716568350791931
8,0.6887087225914001,0.9056861400604248,0.725239634513855,0.8643465638160706
9,0.7019339203834534,0.8918594121932983,0.7284345030784607,0.8547508716583252
10,0.7052568793296814,0.8805525898933411,0.7276358008384705,0.8508502840995789
11,0.7028643488883972,0.8826460838317871,0.7300319671630859,0.8445799946784973
12,0.7075828909873962,0.868114173412323,0.7316293716430664,0.8411333560943604
13,0.7055891752243042,0.8744163513183594,0.7300319671630859,0.837175726890564
14,0.7140958309173584,0.8633766174316406,0.7324281334877014,0.8346107006072998
