class,precision,recall,f1_score,support
건선,0.8,0.8,0.8,80
아토피,0.9016393442622951,0.6875,0.7801418439716312,80
여드름,0.6914893617021277,0.8125,0.7471264367816092,80
정상,0.9523809523809523,1.0,0.975609756097561,80
주사,0.7901234567901234,0.8,0.7950310559006211,80
