epoch,accuracy,loss,val_accuracy,val_loss
0,0.3651388883590698,1.4874130487442017,0.5360000133514404,1.296613335609436
1,0.5868055820465088,1.164548635482788,0.5799999833106995,1.1521549224853516
2,0.6416666507720947,1.0160797834396362,0.6140000224113464,1.0693358182907104
3,0.6697221994400024,0.9428470134735107,0.6259999871253967,1.0139086246490479
4,0.679722249507904,0.894359827041626,0.6399999856948853,0.9680101275444031
5,0.695972204208374,0.8544837832450867,0.6439999938011169,0.9365940093994141
6,0.7116666436195374,0.8179196119308472,0.6539999842643738,0.9055257439613342
7,0.7169444561004639,0.7943772673606873,0.6620000004768372,0.8873814344406128
8,0.731249988079071,0.7691942453384399,0.6759999990463257,0.8661797046661377
9,0.7366666793823242,0.7504155039787292,0.6800000071525574,0.8517971634864807
10,0.7366666793823242,0.7343845367431641,0.6980000138282776,0.8338955640792847
11,0.7369444370269775,0.7224366068840027,0.6940000057220459,0.8196249008178711
12,0.7433333396911621,0.7181259989738464,0.6919999718666077,0.8077260255813599
13,0.7554166913032532,0.6957620978355408,0.699999988079071,0.7975847125053406
14,0.7572222352027893,0.6852288842201233,0.7020000219345093,0.7850885391235352
