epoch,accuracy,loss,val_accuracy,val_loss
0,0.613544225692749,1.0586334466934204,0.7228434681892395,0.8404151201248169
1,0.7126337289810181,0.8661778569221497,0.7507987022399902,0.792640209197998
2,0.7306439876556396,0.8318769335746765,0.7539936304092407,0.7891553640365601
3,0.7381537556648254,0.8205443620681763,0.75,0.7874443531036377
4,0.7421413064002991,0.8135355710983276,0.7468051314353943,0.7883154153823853
5,0.7436033487319946,0.8032048940658569,0.7611821293830872,0.7842363715171814
6,0.7401475310325623,0.8091177344322205,0.7571884989738464,0.7743656635284424
7,0.742606520652771,0.804477334022522,0.7635782957077026,0.7640385031700134
8,0.7468598484992981,0.8022564053535461,0.7699680328369141,0.7609886527061462
9,0.7481890320777893,0.7988529801368713,0.7531948685646057,0.7672337293624878
10,0.7498504519462585,0.7972157001495361,0.7492012977600098,0.7704017162322998
11,0.7461287975311279,0.8077505826950073,0.7595846652984619,0.7612295150756836
12,0.7518442273139954,0.7951617240905762,0.7635782957077026,0.7628036141395569
13,0.7501827478408813,0.7973930239677429,0.7571884989738464,0.7776865363121033
14,0.7465940117835999,0.7949520945549011,0.7595846652984619,0.7764137387275696
