,precision,recall,f1-score,support
모낭사이홍반,0.82421875,0.8508064516129032,0.8373015873015873,248.0
미세각질,0.7676348547717843,0.72265625,0.744466800804829,256.0
비듬,0.726530612244898,0.7385892116182573,0.7325102880658436,241.0
탈모,0.8739130434782608,0.8204081632653061,0.8463157894736842,245.0
피지과다,0.7571428571428571,0.8091603053435115,0.7822878228782287,262.0
accuracy,0.7883386581469649,0.7883386581469649,0.7883386581469649,0.7883386581469649
macro avg,0.78988802352756,0.7883240763679955,0.7885764577048346,1252.0
weighted avg,0.7895325675688496,0.7883386581469649,0.7883994026324654,1252.0
